Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
57.857927,3896,3895,2363942,2369599,1309,52,606.761293634497,442.74647424066063,1331,55,608.3694480102696,446.56990113741165,81813.18006778916,134.65743423541602,0.007427205006418486,0.016915096561539746,0.964617,-5e-06,28.931104,0.007427754557124518,0.013876600066468472,0.6677,-5e-06,28.926823,0.007426655455712451,0.019485403597660034,0.964617,0.0,0,0,0,0,0,0,67.3373589758928,67.32007525952322,52,1331,607.5652676164806,444.66277880173106,197724.9868516772,0,0,0,0,0,0,0,0,0.9997433264887063,607.5652676164806,606.761293634497,608.3694480102696,0,0,0,0,0,0,0,3896,2363942,3895,2369599,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,games
60.046756,5955,5954,5067377,5047463,1342,50,850.9449202350966,393.22904876366437,1342,76,847.7431978501847,393.9597981152262,168449.39966448813,198.32878232422746,0.00504255592878737,0.004914576830397544,0.078489,0.0,30.04102,0.005045518978837756,0.004869144239582297,0.026635,0.0,30.005736,0.005039592878736983,0.004959591481016563,0.078489,0.0,0,0,0,0,0,0,99.17271800661472,99.15606431761276,50,1342,849.3441934671257,393.59781791371165,154919.24226643532,0,0,0,0,0,0,0,0,0.9998320738874895,849.3441934671257,850.9449202350966,847.7431978501847,0,0,0,0,0,0,0,5955,5067377,5954,5047463,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,games
47.894942,16,7060,1056,7946200,66,66,66.0,0.0,3855,54,1125.5240793201133,654.8836584290451,165931.00791311116,147.74002649382058,0.006769603109540636,0.09590804749496652,4.354972,0.0,1.381228,0.08632675000000001,0.07271627033675132,0.328629,0.003411,46.513714,0.006589278084714549,0.09587929358830638,4.354972,0.0,0,2138,0,0,416,141200,0.3340645030951285,147.40596199072544,54,3855,1123.128321085359,656.0758176050074,430435.47844607895,12,16,17,2138,7060,0,0,0,441.25,1123.128321085359,66.0,1125.5240793201133,416,0,0,0,0,0,0,16,1056,7060,7946200,65535,8191,0,32,2.2450783333333337,1.220732632298053,4.354972,1.101462,2.2450783333333337,1.220732632298053,4.354972,1.101462,games
56.5757,12,4092,792,5314966,66,66,66.0,0.0,1506,54,1298.8675464320625,497.21874364784605,93958.32486385498,72.53997741079651,0.013788861808432853,0.14738715550889708,4.558837,0.0,0.059975,0.004997916666666667,0.007319888153270436,0.022819,0.0,56.515724999999996,0.013814648007822049,0.14760185770805534,4.558837,0.0,0,534,0,0,312,81840,0.21210519710759212,72.32787221368892,54,1506,1295.2626705653022,500.9340614573446,250934.93392815074,16,12,0,534,4098,0,0,0,341.0,1295.2626705653022,66.0,1298.8675464320625,312,0,0,0,0,0,0,12,792,4092,5314966,65535,2047,0,32,2.4372043636363636,1.077657898465107,4.558837,1.028184,2.4372043636363636,1.077657898465107,4.558837,1.028184,games
59.827636,0,147,0,64804,0,0,0.0,0.0,16140,54,440.84353741496597,1656.7706096712604,1083.1783492164056,2.457058473779576,0.40977832876712317,0.9419126189631474,4.886324,0.0,0.0,0.0,0.0,0.0,0.0,59.827636,0.40977832876712317,0.9419126189631474,4.886324,0.0,0,74,0,0,0,2940,0.0,2.457058473779576,54,16140,440.84353741496597,1656.7706096712604,2744888.85307048,7,0,7,74,141,0,0,0,0.0,440.84353741496597,0.0,440.84353741496597,0,0,0,0,0,0,0,0,0,147,64804,0,8191,0,0,2.6244787777777776,1.1841209627890668,4.886324,1.201119,2.6244787777777776,1.1841209627890668,4.886324,1.201119,games
56.800332,0,91,0,20905,0,0,0.0,0.0,4848,54,229.72527472527472,612.8147106434118,368.04362340699,1.6021033116496572,0.6311147999999999,1.1890007685620188,4.902184,0.0,0.0,0.0,0.0,0.0,0.0,56.800332,0.6311147999999999,1.1890007685620188,4.902184,0.0,0,54,0,0,0,1820,0.0,1.6021033116496572,54,4848,229.72527472527472,612.8147106434118,375541.86958096846,0,0,0,54,91,0,0,0,0.0,229.72527472527472,0.0,229.72527472527472,0,0,0,0,0,0,0,0,0,91,20905,0,2844,0,0,2.7654598823529413,1.3192891951725092,4.902184,1.094744,2.7654598823529413,1.3192891951725092,4.902184,1.094744,games
5.197991,0,12,0,8938,0,0,0.0,0.0,2762,54,744.8333333333334,1163.7059217096999,1719.5104801066411,2.3085842203266607,0.47254463636363636,1.2913460593565482,4.548514,0.012006,0.0,0.0,0.0,0.0,0.0,5.197991,0.47254463636363636,1.2913460593565482,4.548514,0.012006,0,6,0,0,0,240,0.0,2.3085842203266607,54,2762,744.8333333333334,1163.7059217096999,1354211.4722222222,0,0,0,6,12,0,0,0,0.0,744.8333333333334,0.0,744.8333333333334,0,0,0,0,0,0,0,0,0,12,8938,0,255,0,0,4.548514,0.0,4.548514,4.548514,4.548514,0.0,4.548514,4.548514,music
8.4e-05,0,2,0,108,0,0,0.0,0.0,54,54,54.0,0.0,1285714.2857142857,23809.52380952381,8.4e-05,0.0,8.4e-05,8.4e-05,0.0,0.0,0.0,0.0,0.0,8.4e-05,8.4e-05,0.0,8.4e-05,8.4e-05,0,0,0,0,0,40,0.0,23809.52380952381,54,54,54.0,0.0,0.0,0,0,0,0,2,0,0,0,0.0,54.0,0.0,54.0,0,0,0,0,0,0,0,0,0,2,108,0,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,music
13.833355,0,20,0,15066,0,0,0.0,0.0,2788,54,753.3,1173.6553625319486,1089.1067279051251,1.4457808680540623,0.7280713157894736,1.964548122257074,8.360185,0.009403,0.0,0.0,0.0,0.0,0.0,13.833355,0.7280713157894736,1.964548122257074,8.360185,0.009403,0,10,0,0,0,400,0.0,1.4457808680540623,54,2788,753.3,1173.6553625319486,1377466.91,0,0,0,10,20,0,0,0,0.0,753.3,0.0,753.3,0,0,0,0,0,0,0,0,0,20,15066,0,255,0,0,5.9766195,2.3835655,8.360185,3.593054,5.9766195,2.3835655,8.360185,3.593054,music
51.857444,6,791,396,186645,66,66,66.0,0.0,2083,54,235.960809102402,349.42553503191715,3606.8302942196688,15.369056754899065,0.06514754271356785,0.5407875996453788,8.680665,-2.3e-05,0.087593,0.0175186,0.01619207865099475,0.044452,0.0,51.769851,0.06544861061946904,0.5424792692523596,8.680665,-2.3e-05,0,510,0,0,156,15823,0.11570180743964165,15.253354947459423,54,2083,234.68130489335007,348.4176366086086,121394.8494999284,0,6,0,510,794,0,0,0,131.83333333333334,234.68130489335007,66.0,235.960809102402,156,0,0,0,0,0,0,6,396,791,186645,65535,1052,0,32,4.612421,2.781653348213657,8.680665,1.113219,4.612421,2.781653348213657,8.680665,1.113219,music
