Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,8.824019,135,98,23886,9242,1258,58,176.93333333333334,232.9418366443848,2317,54,94.3061224489796,239.48321947788992,3754.2983531653776,26.4052015300511,0.038034564655172416,0.1151441635030399,1.719842,0.0,4.184563,0.031228082089552245,0.03352028149528449,0.214868,0.0,4.639456,0.04734138775510205,0.1723379837392762,1.719842,2.7e-05,121,9,0,0,2700,1960,15.29915110110257,11.106050428948533,54,2317,142.1802575107296,239.2184379797293,57225.46106946159,0,0,0,130,233,0,0,0,0.725925925925926,142.1802575107296,176.93333333333334,94.3061224489796,111.4672131147541,0.9037037037037037,1541.134487584399,541.1428571428571,0.07142857142857142,429.2828471924188,135,23886,98,9242,9740,255,125,20,1.719842,0.0,1.719842,1.719842,1.719842,0.0,1.719842,1.719842,good
443,6.9e-05,1,1,58,54,58,58,58.0,0.0,54,54,54.0,0.0,1623188.4057971016,28985.507246376812,6.9e-05,0.0,6.9e-05,6.9e-05,0.0,0.0,0.0,0.0,0.0,6.9e-05,6.9e-05,0.0,6.9e-05,6.9e-05,0,0,0,0,20,20,14492.753623188406,14492.753623188406,54,58,56.0,2.0,4.0,0,0,0,0,2,0,0,0,1.0,56.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,58,1,54,651,255,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,3.358967,5,6,448,2455,173,54,89.6,47.55039432013156,1358,58,409.1666666666667,474.5307916481524,864.253801838482,3.274816334902963,0.3358967,0.6529714992956508,2.263118,0.0,0.262719,0.06567975000000001,0.059067023656922985,0.161485,5.1e-05,3.096248,0.5160413333333334,0.7919365296545059,2.263118,0.0,2,3,0,0,100,120,1.4885528795013467,1.7862634554016161,54,1358,263.90909090909093,386.22872510880586,149172.62809917354,0,0,0,5,11,0,0,0,1.2,263.90909090909093,89.6,409.1666666666667,59.0,0.2,17.564923978115893,618.0,0.16666666666666666,183.98513590636645,5,448,6,2455,255,448,2,20,2.263118,0.0,2.263118,2.263118,2.263118,0.0,2.263118,2.263118,good
443,0.093409,4,3,256,186,82,58,64.0,10.392304845413264,78,54,62.0,11.313708498984761,4731.87808455288,74.93924568296417,0.015568166666666666,0.033538229845042344,0.090553,0.0,0.091818,0.030605999999999998,0.042392076012701556,0.090553,0.0,0.001591,0.0005303333333333333,0.0005145394920595394,0.001258,0.000165,1,1,0,0,80,60,42.82242610455095,32.116819578413214,54,82,63.142857142857146,10.842094834863016,117.55102040816327,2,0,2,2,5,0,0,0,0.75,63.142857142857146,64.0,62.0,24.0,0.25,256.9345566273057,24.0,0.3333333333333333,256.9345566273057,4,256,3,186,505,254,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,0.091766,4,3,256,186,82,58,64.0,10.392304845413264,78,54,62.0,11.313708498984761,4816.598740274176,76.28097552470413,0.015294333333333332,0.03394802932261148,0.091204,0.0,0.09155799999999999,0.03051933333333333,0.04291078268014022,0.091204,0.0,0.00020800000000000001,6.933333333333333e-05,2.9488227406128633e-05,0.00011,4.1e-05,1,1,0,0,80,60,43.589128871259504,32.69184665344463,54,82,63.142857142857146,10.842094834863016,117.55102040816327,2,0,2,2,5,0,0,0,0.75,63.142857142857146,64.0,62.0,24.0,0.25,261.534773227557,24.0,0.3333333333333333,261.534773227557,4,256,3,186,501,254,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,0.293347,14,10,3097,1417,538,58,221.21428571428572,170.6383722426836,299,54,141.7,107.3732275755926,15387.919426481265,81.81437001230624,0.012754217391304347,0.016524430906352812,0.060762,2.4e-05,0.211588,0.016276,0.017287298062672846,0.060762,0.000225,0.081759,0.0081759,0.014228140190833093,0.049772,2.4e-05,9,5,0,0,280,200,47.725049173845306,34.089320838460935,54,538,188.08333333333334,152.72740331133184,23325.65972222222,0,0,0,14,24,0,0,0,0.7142857142857143,188.08333333333334,221.21428571428572,141.7,243.75,0.5714285714285714,6647.417563499882,175.4,0.5,2989.633437533024,14,3097,10,1417,436,255,9,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,1.077764,47,177,3964,225830,612,54,84.34042553191489,113.08616120082098,1358,58,1275.8757062146892,278.8148167963447,213213.6534528895,207.83770844080894,0.004833022421524664,0.021303421372291742,0.181954,0.0,0.22686699999999999,0.0049318913043478255,0.014745438652458006,0.055076,2e-05,0.850897,0.0048073276836158195,0.022699600813209563,0.181954,0.0,7,64,0,0,940,3540,43.608804896062594,164.22890354474634,54,1358,1025.8660714285713,547.2663394991986,299500.4463488521,0,0,0,71,224,0,0,0,3.765957446808511,1025.8660714285713,84.34042553191489,1275.8757062146892,203.71428571428572,0.14893617021276595,1323.1096974847926,1256.5502958579882,0.9548022598870056,197034.78683645028,47,3964,177,225830,2047,963,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
62220,0.707101,2,2,169,217,89,80,84.5,4.5,121,96,108.5,12.5,545.890898188519,5.656900499362892,0.23570033333333337,0.268144309158748,0.614913,0.045485,0.614913,0.614913,0.0,0.614913,0.614913,0.09218799999999999,0.046093999999999996,0.0006090000000000019,0.046703,0.045485,0,0,0,0,0,0,2.828450249681446,2.828450249681446,80,121,96.5,15.239750654128171,232.25,0,0,0,0,0,0,0,0,1.0,96.5,84.5,108.5,0.0,0.0,0.0,0.0,0.0,0.0,2,169,2,217,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,0.762565,4,4,377,501,139,54,94.25,40.37558049118304,175,96,125.25,32.64486942844159,1151.37725964344,10.490908971694216,0.10893785714285713,0.1880589585205574,0.556203,0.0,0.556346,0.18544866666666668,0.26216290345296545,0.556203,5.9e-05,0.20621899999999999,0.051554749999999996,0.05158014020616365,0.105398,0.0,2,4,0,0,80,80,5.245454485847108,5.245454485847108,54,175,109.75,39.85207020971433,1588.1875,0,0,0,6,8,0,0,0,1.0,109.75,94.25,125.25,76.0,0.25,99.66363523109504,96.5,0.5,253.09317894212296,4,377,4,501,255,501,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,good
443,5.357257,3,2,260,178,144,58,86.66666666666667,40.54078878802873,124,54,89.0,35.0,81.75825800404947,0.9333134475348113,1.33931425,2.2617745416312363,5.256286,6.9e-05,5.350974,2.675487,2.580799,5.256286,0.094688,0.0062829999999999995,0.0031414999999999998,0.0030725,0.006214,6.9e-05,1,1,0,0,60,40,0.5599880685208868,0.3733253790139245,54,144,87.6,38.43748170731272,1477.44,0,0,0,2,5,0,0,0,0.6666666666666666,87.6,86.66666666666667,89.0,86.0,0.3333333333333333,16.052991297598755,70.0,0.5,13.066388265487358,3,260,2,178,484,252,1,20,5.256286,0.0,5.256286,5.256286,5.256286,0.0,5.256286,5.256286,good
